P,S,T,
M,a,x, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,e,a,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,i,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
8,7,V,A,
1948-1-1,-99999,-99999,-99999,
1948-1-2,-99999,-99999,-99999,
1948-1-3,-99999,-99999,-99999,
1948-1-4,-99999,-99999,-99999,
1948-1-5,-99999,-99999,-99999,
1948-1-6,-99999,-99999,-99999,
1948-1-7,-99999,-99999,-99999,
1948-1-8,-99999,-99999,-99999,
1948-1-9,-99999,-99999,-99999,
1948-1-10,-99999,-99999,-99999,
1948-1-11,-99999,-99999,-99999,
1948-1-12,-99999,-99999,-99999,
1948-1-13,-99999,-99999,-99999,
1948-1-14,-99999,-99999,-99999,
1948-1-15,-99999,-99999,-99999,
1948-1-16,-99999,-99999,-99999,
1948-1-17,-99999,-99999,-99999,
1948-1-18,-99999,-99999,-99999,
1948-1-19,-99999,-99999,-99999,
1948-1-20,-99999,-99999,-99999,
1948-1-21,-99999,-99999,-99999,
1948-1-22,-99999,-99999,-99999,
1948-1-23,-99999,-99999,-99999,
1948-1-24,-99999,-99999,-99999,
1948-1-25,-99999,-99999,-99999,
1948-1-26,-99999,-99999,-99999,
1948-1-27,-99999,-99999,-99999,
1948-1-28,-99999,-99999,-99999,
1948-1-29,-99999,-99999,-99999,
1948-1-30,-99999,-99999,-99999,
1948-1-31,-99999,-99999,-99999,
1948-2-1,-99999,-99999,-99999,
1948-2-2,-99999,-99999,-99999,
1948-2-3,-99999,-99999,-99999,
1948-2-4,-99999,-99999,-99999,
1948-2-5,-99999,-99999,-99999,
1948-2-6,-99999,-99999,-99999,
1948-2-7,-99999,-99999,-99999,
1948-2-8,-99999,-99999,-99999,
1948-2-9,-99999,-99999,-99999,
1948-2-10,-99999,-99999,-99999,
1948-2-11,-99999,-99999,-99999,
1948-2-12,-99999,-99999,-99999,
1948-2-13,-99999,-99999,-99999,
1948-2-14,-99999,-99999,-99999,
1948-2-15,-99999,-99999,-99999,
1948-2-16,-99999,-99999,-99999,
1948-2-17,-99999,-99999,-99999,
1948-2-18,-99999,-99999,-99999,
1948-2-19,-99999,-99999,-99999,
1948-2-20,-99999,-99999,-99999,
1948-2-21,-99999,-99999,-99999,
1948-2-22,-99999,-99999,-99999,
1948-2-23,-99999,-99999,-99999,
1948-2-24,-99999,-99999,-99999,
1948-2-25,-99999,-99999,-99999,
1948-2-26,-99999,-99999,-99999,
1948-2-27,-99999,-99999,-99999,
1948-2-28,-99999,-99999,-99999,
1948-2-29,-99999,-99999,-99999,
1948-3-1,-99999,-99999,-99999,
1948-3-2,-99999,-99999,-99999,
1948-3-3,-99999,-99999,-99999,
1948-3-4,-99999,-99999,-99999,
1948-3-5,-99999,-99999,-99999,
1948-3-6,-99999,-99999,-99999,
1948-3-7,-99999,-99999,-99999,
1948-3-8,-99999,-99999,-99999,
1948-3-9,-99999,-99999,-99999,
1948-3-10,-99999,-99999,-99999,
1948-3-11,-99999,-99999,-99999,
1948-3-12,-99999,-99999,-99999,
1948-3-13,-99999,-99999,-99999,
1948-3-14,-99999,-99999,-99999,
1948-3-15,-99999,-99999,-99999,
1948-3-16,-99999,-99999,-99999,
1948-3-17,-99999,-99999,-99999,
1948-3-18,-99999,-99999,-99999,
1948-3-19,-99999,-99999,-99999,
1948-3-20,-99999,-99999,-99999,
1948-3-21,-99999,-99999,-99999,
1948-3-22,-99999,-99999,-99999,
1948-3-23,-99999,-99999,-99999,
1948-3-24,-99999,-99999,-99999,
1948-3-25,-99999,-99999,-99999,
1948-3-26,-99999,-99999,-99999,
1948-3-27,-99999,-99999,-99999,
1948-3-28,-99999,-99999,-99999,
1948-3-29,-99999,-99999,-99999,
1948-3-30,-99999,-99999,-99999,
1948-3-31,-99999,-99999,-99999,
1948-4-1,-99999,-99999,-99999,
1948-4-2,-99999,-99999,-99999,
1948-4-3,-99999,-99999,-99999,
1948-4-4,-99999,-99999,-99999,
1948-4-5,-99999,-99999,-99999,
1948-4-6,-99999,-99999,-99999,
1948-4-7,-99999,-99999,-99999,
1948-4-8,-99999,-99999,-99999,
1948-4-9,-99999,-99999,-99999,
1948-4-10,-99999,-99999,-99999,
1948-4-11,-99999,-99999,-99999,
1948-4-12,-99999,-99999,-99999,
1948-4-13,-99999,-99999,-99999,
1948-4-14,-99999,-99999,-99999,
1948-4-15,-99999,-99999,-99999,
1948-4-16,-99999,-99999,-99999,
1948-4-17,-99999,-99999,-99999,
1948-4-18,-99999,-99999,-99999,
1948-4-19,-99999,-99999,-99999,
1948-4-20,-99999,-99999,-99999,
1948-4-21,-99999,-99999,-99999,
1948-4-22,-99999,-99999,-99999,
1948-4-23,-99999,-99999,-99999,
1948-4-24,-99999,-99999,-99999,
1948-4-25,-99999,-99999,-99999,
1948-4-26,-99999,-99999,-99999,
1948-4-27,-99999,-99999,-99999,
1948-4-28,-99999,-99999,-99999,
1948-4-29,-99999,-99999,-99999,
1948-4-30,-99999,-99999,-99999,
1948-5-1,-99999,-99999,-99999,
1948-5-2,-99999,-99999,-99999,
1948-5-3,-99999,-99999,-99999,
1948-5-4,-99999,-99999,-99999,
1948-5-5,-99999,-99999,-99999,
1948-5-6,-99999,-99999,-99999,
1948-5-7,-99999,-99999,-99999,
1948-5-8,-99999,-99999,-99999,
1948-5-9,-99999,-99999,-99999,
1948-5-10,-99999,-99999,-99999,
1948-5-11,-99999,-99999,-99999,
1948-5-12,-99999,-99999,-99999,
1948-5-13,-99999,-99999,-99999,
1948-5-14,-99999,-99999,-99999,
1948-5-15,-99999,-99999,-99999,
1948-5-16,-99999,-99999,-99999,
1948-5-17,-99999,-99999,-99999,
1948-5-18,-99999,-99999,-99999,
1948-5-19,-99999,-99999,-99999,
1948-5-20,-99999,-99999,-99999,
1948-5-21,-99999,-99999,-99999,
1948-5-22,-99999,-99999,-99999,
1948-5-23,-99999,-99999,-99999,
1948-5-24,-99999,-99999,-99999,
1948-5-25,-99999,-99999,-99999,
1948-5-26,-99999,-99999,-99999,
1948-5-27,-99999,-99999,-99999,
1948-5-28,-99999,-99999,-99999,
1948-5-29,-99999,-99999,-99999,
1948-5-30,-99999,-99999,-99999,
1948-5-31,-99999,-99999,-99999,
1948-6-1,-99999,-99999,-99999,
1948-6-2,-99999,-99999,-99999,
1948-6-3,-99999,-99999,-99999,
1948-6-4,-99999,-99999,-99999,
1948-6-5,-99999,-99999,-99999,
1948-6-6,-99999,-99999,-99999,
1948-6-7,-99999,-99999,-99999,
1948-6-8,-99999,-99999,-99999,
1948-6-9,-99999,-99999,-99999,
1948-6-10,-99999,-99999,-99999,
1948-6-11,-99999,-99999,-99999,
1948-6-12,-99999,-99999,-99999,
1948-6-13,-99999,-99999,-99999,
1948-6-14,-99999,-99999,-99999,
1948-6-15,-99999,-99999,-99999,
1948-6-16,-99999,-99999,-99999,
1948-6-17,-99999,-99999,-99999,
1948-6-18,-99999,-99999,-99999,
1948-6-19,-99999,-99999,-99999,
1948-6-20,-99999,-99999,-99999,
1948-6-21,-99999,-99999,-99999,
