P,S,T,
M,a,x, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,e,a,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,i,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
V,A,9,1,
1948-1-1,,,,
1948-1-2,,,,
1948-1-3,,,,
1948-1-4,,,,
1948-1-5,,,,
1948-1-6,,,,
1948-1-7,,,,
1948-1-8,,,,
1948-1-9,,,,
1948-1-10,,,,
1948-1-11,,,,
1948-1-12,,,,
1948-1-13,,,,
1948-1-14,,,,
1948-1-15,,,,
1948-1-16,,,,
1948-1-17,,,,
1948-1-18,,,,
1948-1-19,,,,
1948-1-20,,,,
1948-1-21,,,,
1948-1-22,,,,
1948-1-23,,,,
1948-1-24,,,,
1948-1-25,,,,
1948-1-26,,,,
1948-1-27,,,,
1948-1-28,,,,
1948-1-29,,,,
1948-1-30,,,,
1948-1-31,,,,
1948-2-1,,,,
1948-2-2,,,,
1948-2-3,,,,
1948-2-4,,,,
1948-2-5,,,,
1948-2-6,,,,
1948-2-7,,,,
1948-2-8,,,,
1948-2-9,,,,
1948-2-10,,,,
1948-2-11,,,,
1948-2-12,,,,
1948-2-13,,,,
1948-2-14,,,,
1948-2-15,,,,
1948-2-16,,,,
1948-2-17,,,,
1948-2-18,,,,
1948-2-19,,,,
1948-2-20,,,,
1948-2-21,,,,
1948-2-22,,,,
1948-2-23,,,,
1948-2-24,,,,
1948-2-25,,,,
1948-2-26,,,,
1948-2-27,,,,
1948-2-28,,,,
1948-2-29,,,,
1948-3-1,,,,
1948-3-2,,,,
1948-3-3,,,,
1948-3-4,,,,
1948-3-5,,,,
1948-3-6,,,,
1948-3-7,,,,
1948-3-8,,,,
1948-3-9,,,,
1948-3-10,,,,
1948-3-11,,,,
1948-3-12,,,,
1948-3-13,,,,
1948-3-14,,,,
1948-3-15,,,,
1948-3-16,,,,
1948-3-17,,,,
1948-3-18,,,,
1948-3-19,,,,
1948-3-20,,,,
1948-3-21,,,,
1948-3-22,,,,
1948-3-23,,,,
1948-3-24,,,,
1948-3-25,,,,
1948-3-26,,,,
1948-3-27,,,,
1948-3-28,,,,
1948-3-29,,,,
1948-3-30,,,,
1948-3-31,,,,
1948-4-1,,,,
1948-4-2,,,,
1948-4-3,,,,
1948-4-4,,,,
1948-4-5,,,,
1948-4-6,,,,
1948-4-7,,,,
1948-4-8,,,,
1948-4-9,,,,
1948-4-10,,,,
1948-4-11,,,,
1948-4-12,,,,
1948-4-13,,,,
1948-4-14,,,,
1948-4-15,,,,
1948-4-16,,,,
1948-4-17,,,,
1948-4-18,,,,
1948-4-19,,,,
1948-4-20,,,,
1948-4-21,,,,
1948-4-22,,,,
1948-4-23,,,,
1948-4-24,,,,
1948-4-24,,,,
1948-4-26,,,,
1948-4-27,,,,
1948-4-28,,,,
1948-4-29,,,,
1948-4-30,,,,
1948-5-1,,,,
1948-5-2,,,,
1948-5-3,,,,
1948-5-4,,,,
1948-5-5,,,,
1948-5-6,,,,
1948-5-7,,,,
1948-5-8,,,,
1948-5-9,,,,
1948-5-10,,,,
1948-5-11,,,,
1948-5-12,,,,
1948-5-13,,,,
1948-5-14,,,,
1948-5-15,,,,
1948-5-16,,,,
1948-5-17,,,,
1948-5-18,,,,
1948-5-19,,,,
1948-5-20,,,,
1948-5-21,,,,
1948-5-22,,,,
1948-5-23,,,,
1948-5-24,,,,
1948-5-25,,,,
1948-5-26,,,,
1948-5-27,,,,
1948-5-28,,,,
1948-5-29,,,,
1948-5-30,,,,
1948-5-31,,,,
1948-6-1,,,,
1948-6-2,,,,
1948-6-3,,,,
1948-6-4,,,,
1948-6-5,,,,
1948-6-6,,,,
1948-6-7,,,,
1948-6-8,,,,
1948-6-9,,,,
1948-6-10,,,,
1948-6-11,,,,
1948-6-12,,,,
1948-6-13,,,,
1948-6-14,,,,
1948-6-15,,,,
1948-6-16,,,,
1948-6-17,,,,
1948-6-18,,,,
1948-6-19,,,,
1948-6-20,,,,
1948-6-21,,,,
1948-6-22,,,,
1948-6-23,,,,
1948-6-24,,,,
1948-6-25,,,,
1948-6-26,,,,
1948-6-27,,,,
1948-6-28,,,,
1948-6-29,,,,
1948-6-30,,,,
1948-7-1,,,,
1948-7-2,,,,
1948-7-3,,,,
1948-7-4,,,,
1948-7-5,,,,
1948-7-6,,,,
1948-7-7,,,,
1948-7-8,,,,
1948-7-9,,,,
1948-7-10,,,,
1948-7-11,,,,
1948-7-12,,,,
1948-7-13,,,,
1948-7-14,,,,
1948-7-15,,,,
1948-7-16,,,,
1948-7-17,,,,
1948-7-18,,,,
1948-7-19,,,,
1948-7-20,,,,
1948-7-21,,,,
1948-7-22,,,,
1948-7-23,,,,
1948-7-24,,,,
1948-7-25,,,,
1948-7-26,,,,
1948-7-27,,,,
1948-7-28,,,,
1948-7-29,,,,
1948-7-30,,,,
1948-7-31,,,,
1948-8-1,,,,
1948-8-2,,,,
1948-8-3,,,,
1948-8-4,,,,
1948-8-5,,,,
1948-8-6,,,,
1948-8-7,,,,
1948-8-8,,,,
1948-8-9,,,,
1948-8-10,,,,
1948-8-11,,,,
1948-8-12,,,,
1948-8-13,,,,
1948-8-14,,,,
1948-8-15,,,,
1948-8-16,,,,
1948-8-17,,,,
1948-8-18,,,,
1948-8-19,,,,
1948-8-20,,,,
1948-8-21,,,,
1948-8-22,,,,
1948-8-23,,,,
1948-8-24,,,,
1948-8-25,,,,
1948-8-26,,,,
1948-8-27,,,,
1948-8-28,,,,
1948-8-29,,,,
1948-8-30,,,,
1948-8-31,,,,
1948-9-1,,,,
1948-9-2,,,,
1948-9-3,,,,
1948-9-4,,,,
1948-9-5,,,,
1948-9-6,,,,
1948-9-7,,,,
1948-9-8,,,,
1948-9-9,,,,
1948-9-10,,,,
1948-9-11,,,,
1948-9-12,,,,
1948-9-13,,,,
1948-9-14,,,,
1948-9-15,,,,
1948-9-16,,,,
1948-9-17,,,,
1948-9-18,,,,
1948-9-19,,,,
1948-9-20,,,,
1948-9-21,,,,
1948-9-22,,,,
1948-9-23,,,,
1948-9-24,,,,
1948-9-25,,,,
1948-9-26,,,,
1948-9-27,,,,
1948-9-28,,,,
1948-9-29,,,,
1948-9-30,,,,
1948-10-1,,,,
1948-10-2,,,,
1948-10-3,,,,
1948-10-4,,,,
1948-10-5,,,,
1948-10-6,,,,
1948-10-7,,,,
1948-10-8,,,,
1948-10-9,,,,
1948-10-10,,,,
1948-10-11,,,,
1948-10-12,,,,
1948-10-13,,,,
1948-10-14,,,,
1948-10-15,,,,
1948-10-16,,,,
1948-10-17,,,,
1948-10-18,,,,
1948-10-19,,,,
1948-10-20,,,,
1948-10-21,,,,
1948-10-22,,,,
1948-10-23,,,,
1948-10-24,,,,
1948-10-25,,,,
1948-10-26,,,,
1948-10-27,,,,
1948-10-28,,,,
1948-10-29,,,,
1948-10-30,,,,
1948-10-31,,,,
1948-11-1,,,,
1948-11-2,,,,
1948-11-3,,,,
1948-11-4,,,,
1948-11-5,,,,
1948-11-6,,,,
1948-11-7,,,,
1948-11-8,,,,
1948-11-9,,,,
1948-11-10,,,,
1948-11-11,,,,
1948-11-12,,,,
1948-11-13,,,,
1948-11-14,,,,
1948-11-15,,,,
1948-11-16,,,,
1948-11-17,,,,
1948-11-18,,,,
1948-11-19,,,,
1948-11-20,,,,
1948-11-21,,,,
1948-11-22,,,,
1948-11-23,,,,
1948-11-24,,,,
1948-11-25,,,,
1948-11-26,,,,
1948-11-27,,,,
1948-11-28,,,,
1948-11-29,,,,
1948-11-30,,,,
1948-12-1,,,,
1948-12-2,,,,
1948-12-3,,,,
1948-12-4,,,,
1948-12-5,,,,
1948-12-6,,,,
1948-12-7,,,,
1948-12-8,,,,
1948-12-9,,,,
